,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
27,0.0,1,0,0,0.0,7500,3750,275.0,360.0,1.0,1,Y
28,0.0,1,0,0,0.0,3772,833,57.0,360.0,1.0,0,Y
29,0.0,0,0,0,0.0,2942,2382,125.0,180.0,1.0,1,Y
30,1.0,0,0,1,0.0,2478,0,75.0,360.0,1.0,0,Y
31,0.0,1,2,0,0.0,6250,820,192.0,360.0,1.0,1,Y
32,0.0,0,0,0,0.0,3268,1683,152.0,360.0,1.0,0,Y
33,0.0,1,0,0,0.0,2783,2708,158.0,360.0,1.0,1,Y
34,0.0,1,0,0,0.0,2740,1541,101.0,360.0,1.0,1,Y
35,0.0,0,0,0,0.0,3150,0,176.0,360.0,0.0,0,N
36,0.0,1,2,0,0.0,7350,4029,185.0,180.0,1.0,1,Y
37,0.0,1,0,0,1.0,2267,2792,90.0,360.0,1.0,1,Y
38,0.0,0,0,0,1.0,5833,0,116.0,360.0,1.0,1,Y
39,0.0,0,0,0,0.0,3643,1963,138.0,360.0,1.0,1,Y
40,0.0,1,0,0,0.0,5629,818,100.0,360.0,1.0,1,Y
41,1.0,0,0,0,0.0,3644,0,110.0,360.0,1.0,1,Y
42,0.0,1,0,1,0.0,1750,2024,90.0,360.0,1.0,0,Y
43,0.0,0,0,0,0.0,6500,2600,200.0,360.0,1.0,0,Y
44,1.0,0,0,0,0.0,3666,0,84.0,360.0,1.0,1,Y
45,0.0,1,0,0,0.0,4260,3900,185.0,,1.0,1,Y
46,0.0,1,,1,0.0,4163,1475,162.0,360.0,1.0,1,Y
47,0.0,0,0,1,0.0,2356,1902,108.0,360.0,1.0,0,Y
48,0.0,0,0,0,0.0,6792,3338,187.0,,1.0,1,Y
49,0.0,1,3+,1,1.0,8000,250,187.0,360.0,1.0,0,Y
50,0.0,1,1,0,0.0,2419,1707,124.0,360.0,1.0,1,Y
51,0.0,1,3+,1,0.0,3500,833,120.0,360.0,1.0,0,Y
52,0.0,1,1,0,0.0,3500,3077,160.0,360.0,1.0,0,Y
53,0.0,1,2,0,0.0,4116,1000,30.0,180.0,1.0,1,Y
54,0.0,1,0,1,1.0,5293,0,92.0,360.0,1.0,1,Y
55,0.0,0,0,0,0.0,2750,0,130.0,360.0,0.0,1,N
56,1.0,0,0,1,0.0,4402,0,130.0,360.0,1.0,3,Y
57,0.0,1,2,0,0.0,3613,3539,134.0,180.0,1.0,0,Y
58,1.0,1,2,0,0.0,2779,3664,176.0,360.0,0.0,0,N
59,0.0,1,3+,0,0.0,4720,0,90.0,180.0,1.0,0,Y
60,0.0,1,0,1,0.0,2415,1721,110.0,360.0,1.0,0,Y
61,0.0,1,0,0,1.0,7016,292,125.0,360.0,1.0,1,Y
62,1.0,0,2,0,0.0,4968,0,189.0,360.0,1.0,0,Y
63,1.0,0,0,0,0.0,2101,1500,108.0,360.0,0.0,3,N
64,0.0,1,3+,1,0.0,4490,0,125.0,360.0,1.0,1,Y
65,0.0,1,0,0,0.0,2917,3583,138.0,360.0,1.0,0,Y
66,0.0,1,0,1,0.0,4700,0,135.0,360.0,0.0,0,N
67,0.0,1,0,0,0.0,3445,0,130.0,360.0,0.0,0,N
68,0.0,1,0,0,0.0,7666,0,187.0,360.0,1.0,0,Y
69,0.0,1,0,0,0.0,2458,5105,188.0,360.0,0.0,3,N
70,1.0,0,,0,0.0,3250,0,95.0,360.0,1.0,0,Y
71,0.0,0,0,0,0.0,4463,0,65.0,360.0,1.0,0,Y
72,0.0,1,1,0,0.0,4083,1775,139.0,60.0,1.0,1,Y
73,0.0,1,0,0,1.0,3900,2094,232.0,360.0,1.0,3,Y
74,0.0,1,0,1,0.0,4750,3583,144.0,360.0,1.0,0,Y
75,0.0,0,0,0,0.0,3583,3435,155.0,360.0,1.0,1,Y
76,0.0,1,0,0,0.0,3189,2367,186.0,360.0,1.0,1,Y
77,0.0,0,0,0,1.0,6356,0,50.0,360.0,1.0,3,Y
78,0.0,1,1,0,0.0,3413,4053,,360.0,1.0,0,Y
79,1.0,1,0,0,0.0,7950,0,185.0,360.0,1.0,1,Y
80,0.0,1,3+,0,0.0,3829,1103,163.0,360.0,0.0,1,N
81,0.0,1,3+,0,0.0,72529,0,360.0,360.0,1.0,1,Y
82,0.0,1,2,1,0.0,4136,0,149.0,480.0,0.0,3,N
83,0.0,1,0,0,0.0,8449,0,257.0,360.0,1.0,3,Y
84,0.0,1,0,0,0.0,4456,0,131.0,180.0,0.0,0,N
85,0.0,1,2,0,0.0,4635,8000,102.0,180.0,1.0,3,Y
86,0.0,1,0,0,0.0,3571,1917,135.0,360.0,1.0,1,Y
87,0.0,0,0,0,0.0,3066,0,95.0,360.0,1.0,0,Y
88,0.0,0,2,1,0.0,3235,2015,77.0,360.0,1.0,0,Y
89,1.0,0,0,0,0.0,5058,0,200.0,360.0,1.0,3,Y
90,0.0,1,0,0,1.0,3188,2286,130.0,360.0,1.0,3,Y
91,0.0,1,3+,0,0.0,13518,0,390.0,360.0,1.0,3,Y
92,0.0,1,1,0,0.0,4364,2500,185.0,360.0,1.0,0,Y
93,0.0,1,2,1,0.0,4766,1646,100.0,360.0,1.0,0,Y
94,0.0,1,1,0,0.0,4609,2333,123.0,360.0,0.0,0,N
95,1.0,1,3+,0,0.0,6260,0,110.0,360.0,1.0,0,Y
96,0.0,1,1,0,0.0,3333,4200,256.0,360.0,1.0,1,Y
97,0.0,1,0,0,0.0,3500,3250,140.0,360.0,1.0,0,Y
98,0.0,1,3+,0,0.0,9719,0,61.0,360.0,1.0,1,Y
99,0.0,1,3+,0,0.0,6835,0,188.0,360.0,1.0,0,Y
100,0.0,0,0,0,0.0,4452,0,131.0,360.0,1.0,3,Y
101,1.0,1,0,0,0.0,2262,0,,480.0,0.0,0,N
102,0.0,1,1,0,0.0,3901,0,116.0,360.0,1.0,1,Y
103,0.0,1,2,1,0.0,2687,0,50.0,180.0,1.0,3,Y
104,0.0,0,0,0,0.0,2243,2233,107.0,360.0,1.0,0,Y
105,1.0,1,0,0,0.0,3417,1287,200.0,360.0,1.0,0,Y
106,0.0,0,0,0,0.0,1596,1760,119.0,360.0,0.0,1,N
107,0.0,1,3+,0,0.0,4513,0,120.0,360.0,1.0,3,Y
108,0.0,1,0,0,0.0,4500,0,140.0,360.0,1.0,0,Y
109,0.0,1,0,1,0.0,4523,1350,165.0,360.0,1.0,1,Y
110,1.0,0,0,0,1.0,4742,0,108.0,360.0,1.0,0,Y
111,0.0,1,,0,0.0,4082,0,93.0,360.0,1.0,0,Y
112,1.0,0,0,0,0.0,3417,0,102.0,360.0,1.0,1,Y
113,1.0,1,2,0,0.0,2922,3396,122.0,360.0,1.0,0,Y
114,0.0,1,0,0,0.0,4167,4754,160.0,360.0,1.0,3,Y
115,0.0,0,3+,0,0.0,4243,4123,157.0,360.0,1.0,0,Y
116,1.0,0,0,1,0.0,0,1760,180.0,360.0,1.0,0,Y
117,0.0,1,1,0,0.0,1516,2900,80.0,,0.0,3,N
118,1.0,0,0,0,0.0,1762,2666,104.0,360.0,0.0,1,N
119,0.0,1,2,0,0.0,724,3510,213.0,360.0,0.0,3,N
120,0.0,0,0,0,0.0,3125,0,65.0,360.0,1.0,1,Y
121,0.0,1,0,0,0.0,2333,3803,146.0,360.0,1.0,3,Y
122,0.0,1,3+,0,0.0,3350,1560,135.0,360.0,1.0,1,Y
123,0.0,0,0,0,0.0,2500,6414,187.0,360.0,0.0,3,N
124,1.0,0,0,0,0.0,12500,0,300.0,360.0,0.0,1,N
125,0.0,0,0,0,0.0,4667,0,120.0,360.0,1.0,0,Y
126,0.0,0,0,0,0.0,6500,0,71.0,360.0,0.0,1,N
127,0.0,1,2,0,0.0,7500,0,225.0,360.0,1.0,1,Y
128,0.0,0,0,0,0.0,3073,0,70.0,180.0,1.0,1,Y
129,0.0,1,1,1,0.0,3321,2088,70.0,,1.0,0,Y
130,0.0,1,0,0,0.0,3333,1270,124.0,360.0,1.0,1,Y
131,0.0,0,0,0,0.0,3391,0,132.0,360.0,1.0,3,Y
132,0.0,1,1,0,1.0,3343,1517,105.0,360.0,1.0,3,Y
133,1.0,0,1,0,0.0,3620,0,90.0,360.0,1.0,1,Y
134,0.0,0,0,0,0.0,4000,0,83.0,84.0,1.0,1,Y
135,0.0,1,0,0,0.0,4258,0,125.0,360.0,1.0,1,Y
136,0.0,1,2,0,0.0,4500,0,147.0,360.0,1.0,3,Y
137,0.0,1,1,0,0.0,2014,2925,120.0,360.0,1.0,3,Y
138,0.0,0,,0,0.0,3333,1250,110.0,360.0,1.0,0,Y
139,1.0,0,3+,0,0.0,4083,0,103.0,360.0,1.0,0,Y
140,0.0,0,0,0,0.0,4727,0,150.0,360.0,0.0,3,N
141,0.0,1,3+,0,0.0,3089,2999,100.0,240.0,1.0,3,Y
142,0.0,1,3+,1,0.0,6794,528,139.0,360.0,0.0,1,N
143,0.0,1,0,0,1.0,32000,0,550.0,360.0,1.0,0,Y
144,0.0,1,2,0,1.0,10890,0,260.0,12.0,1.0,3,Y
145,1.0,0,0,0,0.0,12941,0,150.0,300.0,1.0,1,Y
146,0.0,0,0,1,0.0,3276,0,90.0,360.0,1.0,0,Y
147,0.0,0,0,1,1.0,8703,0,199.0,360.0,0.0,3,N
148,0.0,1,1,0,0.0,4742,717,139.0,360.0,1.0,0,Y
149,0.0,0,0,0,0.0,5900,0,150.0,360.0,1.0,1,Y
150,0.0,0,0,0,0.0,3071,4309,180.0,360.0,1.0,1,Y
151,0.0,1,0,0,0.0,2783,1456,113.0,360.0,1.0,1,Y
152,0.0,0,0,0,0.0,5000,0,148.0,360.0,1.0,3,Y
153,0.0,1,1,1,0.0,2463,2360,117.0,360.0,0.0,1,N
154,0.0,1,2,0,0.0,4855,0,72.0,360.0,1.0,3,Y
155,0.0,0,0,1,1.0,1599,2474,125.0,300.0,1.0,0,Y
156,0.0,1,2,0,1.0,4246,4246,214.0,360.0,1.0,1,Y
157,0.0,1,0,0,0.0,4333,2291,133.0,350.0,1.0,3,Y
158,0.0,0,1,0,0.0,5823,2529,187.0,360.0,1.0,0,Y
159,0.0,1,0,1,0.0,7895,0,143.0,360.0,1.0,3,Y
160,0.0,0,0,0,0.0,4150,4256,209.0,360.0,1.0,3,Y
161,0.0,0,0,0,0.0,2964,0,84.0,360.0,0.0,0,N
162,0.0,0,0,0,0.0,5583,0,116.0,360.0,1.0,1,Y
163,1.0,0,0,0,0.0,2708,0,65.0,360.0,1.0,3,Y
164,0.0,0,1,0,0.0,3180,2370,80.0,240.0,1.0,3,Y
165,0.0,0,0,1,0.0,2268,0,170.0,360.0,0.0,0,N
166,0.0,0,2,1,0.0,1141,2017,120.0,360.0,0.0,1,N
167,0.0,1,0,0,0.0,3042,3167,135.0,360.0,1.0,1,Y
168,1.0,1,3+,0,0.0,1750,2935,94.0,360.0,0.0,0,N
169,1.0,1,1,0,0.0,3564,0,79.0,360.0,1.0,3,Y
170,1.0,0,0,0,0.0,3958,0,110.0,360.0,1.0,3,Y
171,0.0,1,2,1,0.0,4483,0,130.0,360.0,1.0,3,Y
172,0.0,1,0,0,0.0,5225,0,143.0,360.0,1.0,3,Y
173,0.0,0,0,0,0.0,3017,2845,159.0,180.0,0.0,1,N
174,0.0,1,0,1,0.0,2431,1820,110.0,360.0,0.0,3,N
175,0.0,1,2,0,0.0,4912,4614,160.0,360.0,1.0,3,Y
176,0.0,1,2,1,0.0,2500,3333,131.0,360.0,1.0,1,Y
177,1.0,0,0,0,0.0,2918,0,65.0,360.0,1.0,3,Y
178,0.0,1,2,0,0.0,5128,0,143.0,360.0,1.0,3,Y
179,0.0,1,3+,0,0.0,15312,0,187.0,360.0,1.0,1,Y
180,0.0,1,2,0,0.0,3958,2632,160.0,360.0,1.0,0,Y
181,0.0,1,0,0,0.0,4334,2945,165.0,360.0,1.0,0,Y
182,0.0,1,2,0,0.0,4358,0,110.0,360.0,1.0,1,Y
183,1.0,1,1,0,0.0,4000,3917,173.0,360.0,1.0,3,Y
184,0.0,1,3+,0,0.0,10166,750,150.0,,1.0,1,Y
185,0.0,1,0,1,0.0,4483,0,135.0,360.0,1.0,0,Y
186,0.0,1,2,1,0.0,4521,1184,150.0,360.0,1.0,0,Y
187,0.0,1,2,0,0.0,9167,0,235.0,360.0,1.0,0,Y
188,0.0,1,0,1,0.0,13083,0,,360.0,1.0,3,Y
189,0.0,1,2,0,0.0,7874,3967,336.0,360.0,1.0,3,Y
190,1.0,1,1,0,0.0,4333,0,132.0,84.0,1.0,3,Y
191,0.0,0,0,0,0.0,4083,0,96.0,360.0,1.0,1,Y
192,0.0,1,2,1,0.0,3785,2912,180.0,360.0,0.0,3,N
193,0.0,1,3+,1,0.0,2654,1998,128.0,360.0,0.0,3,N
194,0.0,1,1,0,0.0,10000,2690,412.0,360.0,1.0,0,Y
195,0.0,0,0,0,1.0,5833,0,116.0,360.0,1.0,1,Y
196,0.0,1,1,0,0.0,4796,0,114.0,360.0,0.0,0,N
197,0.0,1,0,1,0.0,2000,1600,115.0,360.0,1.0,3,Y
198,0.0,1,2,0,0.0,2540,700,104.0,360.0,0.0,1,N
199,0.0,1,0,0,1.0,1900,1442,88.0,360.0,1.0,3,Y
200,0.0,1,0,0,1.0,8706,0,108.0,480.0,1.0,3,Y
201,0.0,1,3+,1,0.0,2855,542,90.0,360.0,1.0,1,Y
202,0.0,1,,0,0.0,3016,1300,100.0,360.0,1.0,1,Y
203,1.0,1,0,0,0.0,3159,2374,108.0,360.0,1.0,0,Y
204,1.0,0,0,0,0.0,1937,1152,78.0,360.0,1.0,0,Y
205,0.0,1,0,0,0.0,2613,2417,123.0,360.0,1.0,0,Y
206,0.0,1,1,0,0.0,4960,2600,187.0,360.0,1.0,0,Y
207,0.0,1,1,0,0.0,3074,1083,146.0,360.0,1.0,0,Y
208,1.0,0,0,0,0.0,4213,0,80.0,360.0,1.0,1,Y
209,0.0,0,1,1,0.0,2038,4027,100.0,360.0,1.0,3,Y
210,1.0,0,0,0,0.0,2362,0,55.0,360.0,1.0,1,Y
211,0.0,0,0,0,0.0,5333,2400,200.0,360.0,0.0,3,N
212,0.0,1,3+,0,1.0,5384,0,150.0,360.0,1.0,0,Y
213,0.0,0,0,0,0.0,5708,0,150.0,360.0,1.0,3,Y
214,0.0,1,0,1,0.0,3754,3719,118.0,,1.0,3,Y
215,0.0,1,0,1,0.0,2914,2130,150.0,300.0,1.0,1,Y
216,0.0,1,0,1,0.0,2747,2458,118.0,36.0,1.0,0,Y
217,0.0,1,0,0,0.0,7830,2183,212.0,360.0,1.0,3,Y
218,0.0,1,1,0,1.0,3507,3148,212.0,360.0,1.0,3,Y
219,0.0,1,1,0,0.0,3747,2139,125.0,360.0,1.0,1,Y
220,0.0,1,0,0,0.0,2166,2166,108.0,360.0,1.0,1,Y
221,0.0,1,0,1,0.0,3500,2168,149.0,360.0,1.0,3,Y
222,0.0,1,2,1,0.0,2896,0,80.0,480.0,1.0,1,Y
223,1.0,0,1,0,0.0,5062,0,152.0,300.0,1.0,3,Y
224,1.0,0,2,0,1.0,5184,0,187.0,360.0,0.0,0,N
225,1.0,0,0,0,0.0,2545,0,74.0,360.0,1.0,1,Y
226,0.0,1,0,0,0.0,2553,1768,102.0,360.0,1.0,1,Y
227,0.0,1,1,0,0.0,3436,3809,100.0,360.0,1.0,3,Y
228,0.0,0,0,0,0.0,2412,2755,130.0,360.0,1.0,3,Y
229,0.0,1,3+,1,0.0,5180,0,125.0,360.0,0.0,1,N
230,0.0,0,0,0,0.0,14911,14507,130.0,360.0,1.0,0,Y
231,0.0,0,0,0,1.0,2860,2988,138.0,360.0,1.0,1,Y
232,0.0,1,0,0,0.0,1173,1594,28.0,180.0,1.0,3,Y
233,1.0,0,1,0,0.0,7600,0,92.0,360.0,1.0,0,Y
234,1.0,1,0,0,0.0,2157,1788,104.0,360.0,1.0,1,Y
235,0.0,0,0,0,0.0,2231,2774,176.0,360.0,0.0,1,N
236,1.0,0,0,0,0.0,2274,5211,117.0,360.0,0.0,0,N
237,0.0,1,2,1,0.0,6166,13983,102.0,360.0,1.0,3,Y
238,0.0,1,2,1,0.0,2513,1110,107.0,360.0,1.0,0,Y
239,0.0,0,0,0,0.0,4333,0,66.0,480.0,1.0,1,Y
240,0.0,0,0,1,0.0,3844,0,105.0,360.0,1.0,1,Y
241,0.0,1,0,0,0.0,3887,1517,105.0,360.0,0.0,0,N
242,0.0,1,0,0,0.0,3510,828,105.0,360.0,1.0,0,Y
243,0.0,1,0,0,0.0,2539,1704,125.0,360.0,0.0,3,N
244,1.0,0,0,1,0.0,2107,0,64.0,360.0,1.0,0,Y
245,0.0,1,0,0,0.0,3186,3145,150.0,180.0,0.0,0,N
246,0.0,1,2,0,1.0,5000,2166,150.0,360.0,1.0,1,Y
247,0.0,1,,0,0.0,10000,0,,360.0,1.0,1,Y
248,0.0,1,0,1,1.0,3943,0,64.0,360.0,1.0,0,Y
249,0.0,0,0,0,0.0,2925,0,40.0,180.0,1.0,3,Y
250,0.0,1,3+,0,0.0,3242,437,142.0,480.0,0.0,1,N
251,0.0,1,,0,0.0,3863,0,70.0,300.0,1.0,0,Y
252,1.0,0,1,0,0.0,4028,0,131.0,360.0,1.0,0,Y
253,0.0,1,2,0,0.0,4010,1025,120.0,360.0,1.0,1,Y
254,1.0,1,1,0,0.0,3719,1585,114.0,360.0,1.0,1,Y
255,0.0,0,0,0,0.0,2858,0,123.0,360.0,0.0,3,N
256,1.0,1,0,0,0.0,3833,0,92.0,360.0,1.0,3,Y
257,0.0,1,0,0,0.0,3333,4288,160.0,360.0,1.0,1,Y
258,0.0,1,0,0,0.0,3007,3725,151.0,360.0,1.0,3,Y
259,1.0,0,1,0,0.0,1850,4583,81.0,360.0,1.0,3,Y
260,0.0,1,3+,1,0.0,2792,2619,171.0,360.0,1.0,0,Y
261,0.0,1,0,0,0.0,2982,1550,110.0,360.0,1.0,0,Y
262,0.0,0,0,0,0.0,3417,738,100.0,360.0,1.0,3,Y
263,0.0,1,1,0,0.0,18840,0,234.0,360.0,1.0,3,Y
264,0.0,1,2,0,0.0,2995,1120,184.0,360.0,1.0,3,Y
265,0.0,0,,0,0.0,3579,3308,138.0,360.0,1.0,0,Y
266,1.0,1,1,1,0.0,3835,1400,112.0,480.0,0.0,1,N
267,1.0,0,1,1,0.0,3854,3575,117.0,360.0,1.0,3,Y
268,0.0,1,2,0,0.0,5833,750,49.0,360.0,0.0,3,N
269,0.0,0,0,0,0.0,3508,0,99.0,360.0,1.0,3,Y
270,1.0,1,3+,1,0.0,1635,2444,99.0,360.0,1.0,1,Y
271,1.0,0,0,0,1.0,3333,3916,212.0,360.0,1.0,3,Y
272,0.0,0,1,0,0.0,24797,0,240.0,360.0,1.0,0,Y
273,0.0,1,2,0,0.0,5667,440,130.0,360.0,0.0,0,N
274,1.0,0,0,0,0.0,3500,0,94.0,360.0,0.0,0,N
275,0.0,1,3+,0,0.0,2773,1497,108.0,360.0,1.0,0,Y
276,0.0,1,0,0,0.0,6500,0,144.0,360.0,1.0,1,Y
277,1.0,0,0,0,0.0,5769,0,110.0,180.0,1.0,0,Y
278,0.0,1,3+,1,0.0,3634,910,176.0,360.0,0.0,0,N
279,0.0,0,0,0,0.0,29167,0,185.0,360.0,1.0,0,Y
280,0.0,0,0,0,0.0,2166,2057,122.0,360.0,1.0,0,Y
281,0.0,1,0,0,0.0,5000,0,126.0,360.0,1.0,3,Y
282,1.0,0,0,0,0.0,5530,0,135.0,360.0,1.0,1,Y
283,0.0,0,0,1,0.0,9000,0,122.0,360.0,1.0,3,Y
284,1.0,1,2,0,0.0,10000,11666,460.0,360.0,1.0,1,Y
285,0.0,1,1,0,0.0,8750,0,297.0,360.0,1.0,1,Y
286,0.0,1,0,1,0.0,2157,2730,140.0,360.0,1.0,3,Y
287,0.0,0,0,0,0.0,1972,4347,106.0,360.0,1.0,3,Y
288,0.0,0,0,0,0.0,4983,0,141.0,360.0,1.0,1,Y
289,0.0,1,1,0,0.0,8333,4000,,360.0,1.0,1,Y
290,0.0,1,0,0,0.0,3667,2000,170.0,360.0,1.0,0,Y
291,0.0,1,2,0,0.0,3166,2833,145.0,360.0,1.0,1,Y
292,0.0,0,0,1,0.0,3271,0,90.0,360.0,1.0,3,Y
293,1.0,1,0,0,0.0,2241,2000,88.0,360.0,0.0,1,N
294,0.0,1,1,1,0.0,1792,2565,128.0,360.0,1.0,1,Y
295,1.0,1,0,0,0.0,2666,0,84.0,480.0,1.0,0,Y
296,0.0,0,0,0,0.0,6478,0,108.0,360.0,1.0,0,Y
297,0.0,0,0,1,0.0,3808,0,83.0,360.0,1.0,3,Y
298,1.0,1,2,1,0.0,3729,0,117.0,360.0,1.0,0,Y
299,0.0,1,2,0,0.0,4120,0,128.0,360.0,1.0,3,Y
300,0.0,1,1,0,1.0,7500,0,75.0,360.0,1.0,1,Y
301,0.0,1,1,0,0.0,6300,0,125.0,360.0,0.0,1,N
302,1.0,0,,0,1.0,14987,0,177.0,360.0,1.0,3,Y
303,0.0,1,1,1,1.0,570,2125,68.0,360.0,1.0,3,Y
304,0.0,1,0,0,0.0,2600,700,96.0,360.0,1.0,0,Y
305,0.0,0,2,1,0.0,2733,1083,180.0,360.0,1.0,0,Y
306,0.0,1,2,0,1.0,7500,0,183.0,360.0,1.0,3,Y
307,0.0,1,2,1,0.0,3859,0,121.0,360.0,1.0,3,Y
308,0.0,1,1,0,0.0,6825,0,162.0,360.0,1.0,3,Y
309,0.0,1,0,0,0.0,3708,4700,132.0,360.0,1.0,0,Y
310,0.0,0,0,0,0.0,5314,0,147.0,360.0,1.0,1,Y
311,1.0,0,3+,0,0.0,2366,5272,153.0,360.0,0.0,3,N
312,0.0,0,,0,0.0,2066,2108,104.0,84.0,1.0,1,Y
313,0.0,1,2,0,0.0,5000,0,149.0,360.0,1.0,3,Y
314,1.0,0,0,0,0.0,3767,0,134.0,300.0,1.0,1,Y
315,1.0,1,0,0,0.0,7859,879,165.0,180.0,1.0,0,Y
316,1.0,1,0,0,0.0,4283,0,120.0,360.0,1.0,3,Y
317,0.0,1,0,1,0.0,1700,2900,67.0,360.0,0.0,1,N
318,0.0,0,0,1,0.0,4768,0,125.0,360.0,1.0,3,Y
319,0.0,0,0,0,0.0,3083,2738,120.0,360.0,1.0,1,Y
320,0.0,1,1,0,0.0,2667,1542,148.0,360.0,1.0,3,Y
321,1.0,1,0,1,0.0,1647,1762,181.0,360.0,1.0,1,Y
322,0.0,1,3+,0,0.0,3400,0,80.0,120.0,1.0,1,Y
323,0.0,0,1,0,0.0,16000,5000,40.0,360.0,1.0,0,Y
324,0.0,1,0,0,0.0,5333,0,90.0,360.0,1.0,3,Y
325,0.0,0,0,0,0.0,2875,2416,95.0,6.0,0.0,0,N
326,0.0,1,1,1,0.0,2600,618,122.0,360.0,1.0,0,Y
327,0.0,1,2,0,0.0,5041,700,150.0,360.0,1.0,1,Y
328,0.0,1,3+,0,1.0,6958,1411,150.0,360.0,1.0,3,Y
329,0.0,1,1,0,0.0,3500,1658,104.0,360.0,1.0,0,Y
330,0.0,1,0,0,0.0,5509,0,143.0,360.0,1.0,3,Y
331,0.0,1,3+,0,0.0,9699,0,300.0,360.0,1.0,1,Y
332,1.0,1,1,1,0.0,3621,2717,171.0,360.0,1.0,1,Y
333,1.0,1,0,0,0.0,4709,0,113.0,360.0,1.0,0,Y
334,0.0,1,0,0,0.0,1516,1951,35.0,360.0,1.0,0,Y
335,0.0,0,2,0,0.0,2400,0,46.0,360.0,1.0,1,Y
336,1.0,0,0,1,0.0,3015,2000,145.0,360.0,1.0,1,Y
337,0.0,1,0,0,0.0,2292,1558,119.0,360.0,1.0,1,Y
338,0.0,1,1,0,1.0,2360,3355,87.0,240.0,1.0,3,Y
339,1.0,0,0,0,0.0,4333,2333,162.0,360.0,0.0,3,N
340,0.0,1,0,0,1.0,2623,4831,122.0,180.0,1.0,0,Y
341,0.0,0,0,0,1.0,3972,4275,187.0,360.0,1.0,3,Y
342,0.0,1,3+,1,0.0,3522,0,81.0,180.0,1.0,3,Y
343,0.0,1,1,0,0.0,4700,0,80.0,360.0,1.0,1,Y
344,0.0,0,0,0,0.0,6858,0,176.0,360.0,1.0,3,Y
345,0.0,1,3+,0,0.0,8334,0,260.0,360.0,1.0,1,Y
346,0.0,1,0,0,0.0,3391,1966,133.0,360.0,0.0,3,N
347,0.0,0,0,1,0.0,2868,0,70.0,360.0,1.0,1,Y
348,0.0,1,2,1,0.0,3418,1380,135.0,360.0,1.0,1,Y
349,0.0,1,0,0,1.0,2500,296,137.0,300.0,1.0,3,Y
350,0.0,1,2,0,0.0,8667,0,254.0,360.0,1.0,3,Y
351,0.0,0,0,0,0.0,2283,15000,106.0,360.0,1.0,3,Y
352,0.0,1,0,0,0.0,5817,910,109.0,360.0,1.0,1,Y
353,0.0,1,0,0,0.0,5119,3769,120.0,360.0,1.0,3,Y
354,0.0,1,3+,1,0.0,5316,187,158.0,180.0,0.0,0,N
355,0.0,1,3+,0,0.0,7603,1213,197.0,360.0,1.0,1,Y
356,0.0,1,1,0,0.0,3791,1936,85.0,360.0,1.0,1,Y
357,0.0,0,0,0,0.0,2500,0,60.0,360.0,1.0,1,Y
358,0.0,1,2,1,0.0,3132,0,76.0,360.0,1.0,3,Y
359,0.0,0,0,0,0.0,4000,2667,152.0,360.0,1.0,0,Y
360,1.0,1,0,0,0.0,8550,4255,96.0,360.0,1.0,1,Y
